date,volkswagen,bmw,allianz
2013-05-19,151.309,58.933,88.738
2013-05-26,152.277,61.269,90.747
2013-06-02,149.602,60.03,88.587
2013-06-09,143.051,58.226,86.389
2013-06-16,133.871,53.512,79.948
2013-06-23,138.161,55.857,85.063
2013-06-30,139.499,55.042,83.775
2013-07-07,148.356,58.634,87.867
2013-07-14,151.493,60.055,89.155
2013-07-21,152.508,61.66,88.89
2013-07-28,160.904,60.263,90.822
2013-08-04,161.965,60.114,90.065
2013-08-11,164.179,62.799,87.602
2013-08-18,163.349,62.691,86.048
2013-08-25,155.184,59.274,82.146
2013-09-01,154.077,64.603,84.874
2013-09-08,162.426,66.433,85.442
2013-09-15,155.184,66.906,88.397
2013-09-22,156.66,66.599,89.231
2013-09-29,151.216,66.25,88.966
2013-10-06,155.322,67.131,90.519
2013-10-13,157.951,68.204,93.437
2013-10-20,157.213,69.559,93.664
2013-10-27,167.085,68.744,93.551
2013-11-03,169.761,67.987,94.157
2013-11-10,171.422,67.804,97.112
2013-11-17,173.59,69.65,96.013
2013-11-24,176.819,70.315,96.885
2013-12-01,171.791,68.295,94.877
2013-12-08,168.146,66.341,93.058
2013-12-15,175.804,69.833,97.605
2013-12-22,180.832,71.022,99.12
2013-12-29,177.88,69.825,96.923
2014-01-05,179.817,69.135,97.87
2014-01-12,182.078,71.679,101.47
2014-01-19,170.684,68.154,94.536
2014-01-26,166.393,67.198,93.816
2014-02-02,168.377,68.012,95.559
2014-02-09,180.648,71.504,98.249
2014-02-16,178.987,70.856,97.832
2014-02-23,170.776,70.008,98.287
2014-03-02,165.794,68.062,94.119
2014-03-09,160.765,65.9,91.315
2014-03-16,160.904,73.5,90.936
2014-03-23,170.176,76.684,93.21
2014-03-30,172.852,78.031,93.626
2014-04-06,175.481,75.005,90.557
2014-04-13,176.45,76.593,90.216
2014-04-20,174.512,74.464,91.883
2014-04-27,173.959,74.024,94.043
2014-05-04,173.867,73.267,91.58
2014-05-11,172.114,71.862,96.017
2014-05-18,180.447,77.003,96.373
2014-05-25,182.191,78.896,98.431
2014-06-01,182.804,79.573,98.035
2014-06-08,182.05,77.757,97.995
2014-06-15,183.558,79.299,97.323
2014-06-22,178.514,79.127,96.057
2014-06-29,180.353,81.518,99.459
2014-07-06,173.706,78.879,101.042
2014-07-13,173.093,80.198,102.585
2014-07-20,169.181,80.789,101.952
2014-07-27,161.12,75.075,97.085
2014-08-03,154.992,74.013,96.452
2014-08-10,156.265,73.884,99.815
2014-08-17,162.063,76.3,101.477
2014-08-24,160.743,75.906,102.703
2014-08-31,169.04,78.862,105.354
2014-09-07,164.797,76.617,105.275
2014-09-14,164.184,76.24,109.548
2014-09-21,156.406,73.37,101.437
2014-09-28,147.733,71.64,99.143
2014-10-05,142.076,68.136,97.283
2014-10-12,152.682,69.027,95.305
2014-10-19,152.4,70.5,97.362
2014-10-26,159.989,73.096,100.25
2014-11-02,160.79,71.391,103.811
2014-11-09,158.716,71.16,103.811
2014-11-16,165.928,75.529,107.49
2014-11-23,171.491,78.776,109.548
2014-11-30,174.885,79.119,109.864
2014-12-07,168.002,75.375,106.422
2014-12-14,172.104,77.054,109.548
2014-12-21,171.679,77.817,110.537
2014-12-28,167.767,75.401,108.163
2015-01-04,167.295,75.529,107.49
2015-01-11,176.865,80.181,112.752
2015-01-18,188.272,88.072,116.906
2015-01-25,185.868,88.586,115.838
2015-02-01,199.585,91.541,118.014
2015-02-08,197.7,92.355,117.579
2015-02-15,206.279,95.182,115.996
2015-02-22,208.683,96.81,118.37
2015-03-01,214.01,98.781,119.675
2015-03-08,226.926,102.764,123.038
2015-03-15,228.434,100.023,127.983
2015-03-22,222.401,99.466,126.797
2015-03-29,224.192,98.481,129.368
2015-04-05,230.791,100.537,134.274
2015-04-12,215.518,94.583,127.588
2015-04-19,217.97,94.626,123.473
2015-04-26,214.293,90.899,120.744
2015-05-03,212.454,93.812,119.478
2015-05-10,207.402,87.386,121.678
2015-05-17,221.129,92.338,125.86
2015-05-24,211.448,88.725,118.201
2015-05-31,205.475,87.747,118.49
2015-06-07,204.416,88.038,117.994
2015-06-14,198.78,86.117,116.006
2015-06-21,209.377,91.192,121.306
2015-06-28,203.067,87.139,117.248
2015-07-05,195.939,83.879,121.264
2015-07-12,195.264,84.214,127.64
2015-07-19,182.597,80.743,126.481
2015-07-26,177.298,80.443,123.459
2015-08-02,184.523,81.835,126.895
2015-08-09,173.397,75.905,126.233
2015-08-16,158.947,70.601,115.841
2015-08-23,164.245,73.077,117.497
2015-08-30,154.082,70.769,115.882
2015-09-06,160.151,75.359,116.627
2015-09-13,155.431,75.518,113.44
2015-09-20,111.311,69.509,114.557
2015-09-27,97.439,68.91,115.468
2015-10-04,121.282,77.359,121.14
2015-10-11,116.754,76.425,122.838
2015-10-18,117.38,82.196,129.255
2015-10-25,121.474,82.258,131.946
2015-11-01,117.428,84.611,130.248
2015-11-08,114.105,83.298,130.497
2015-11-15,119.355,87.377,133.892
2015-11-22,129.325,89.43,138.529
2015-11-29,132.263,86.496,134.43
2015-12-06,132.552,82.919,131.118
2015-12-13,135.057,85.21,134.099
2015-12-20,137.947,86.831,134.968
2015-12-27,137.08,86.02,135.424
2016-01-03,120.463,73.518,125.694
2016-01-10,115.935,68.742,123.583
2016-01-17,120.415,70.231,122.672
2016-01-24,116.176,67.544,123.086
2016-01-31,114.49,63.799,114.309
2016-02-07,106.543,61.905,106.815
2016-02-14,115.068,65.051,110.997
2016-02-21,117.765,65.103,114.143
2016-02-28,133.419,72.804,116.876
2016-03-06,125.665,69.359,119.774
2016-03-13,125.183,71.879,120.022
2016-03-20,121.811,70.117,118.076
2016-03-27,118.825,68.725,116.089
2016-04-03,115.935,65.465,115.013
2016-04-10,120.27,69.051,122.175
2016-04-17,131.637,72.936,128.51
2016-04-24,133.275,70.927,122.755
2016-05-01,127.061,66.689,115.385
2016-05-08,131.156,64.998,126.64
2016-05-15,130.529,65.961,126.502
2016-05-22,134.912,69.144,134.767
2016-05-29,130.0,66.486,131.002
2016-06-05,127.206,65.041,123.747
2016-06-12,124.46,63.45,119.706
2016-06-19,122.919,63.165,116.446
2016-06-26,121.48,62.364,116.905
2016-07-03,117.334,62.962,112.451
2016-07-10,122.975,68.685,117.548
2016-07-17,125.433,69.457,115.574
2016-07-24,127.892,70.883,117.824
2016-07-31,126.831,71.684,116.125
2016-08-07,127.747,73.257,123.563
2016-08-14,123.312,71.132,118.559
2016-08-21,125.674,71.049,119.018
2016-08-28,127.072,72.282,124.62
2016-09-04,126.976,70.773,125.4
2016-09-11,122.3,67.544,119.385
2016-09-18,124.421,69.54,125.446
2016-09-25,124.517,68.822,121.314
2016-10-02,126.204,71.214,124.711
2016-10-09,127.169,70.69,126.824
2016-10-16,129.097,72.337,128.568
2016-10-23,130.784,73.753,130.313
2016-10-30,122.975,69.42,125.308
2016-11-06,124.083,73.698,138.487
2016-11-13,123.457,74.517,138.441
2016-11-20,127.843,76.164,138.395
2016-11-27,122.975,73.432,136.191
2016-12-04,130.013,81.665,144.41
2016-12-11,134.641,82.797,143.859
2016-12-18,136.762,82.76,144.134
2016-12-25,131.845,81.647,144.18
2017-01-01,137.485,83.266,147.946
2017-01-08,146.307,80.782,147.67
2017-01-15,144.475,80.175,146.247
2017-01-22,147.56,80.414,148.772
2017-01-29,143.607,77.305,145.374
2017-02-05,141.148,78.261,144.043
2017-02-12,139.654,78.225,149.507
2017-02-19,140.715,77.507,150.379
2017-02-26,142.064,80.037,153.777
2017-03-05,138.545,76.854,155.338
2017-03-12,135.846,76.256,156.486
2017-03-19,134.978,75.897,156.211
