date,sessions,market_a,market_b
2025-04-18,201.79,202.4,168.08
2025-04-19,204.26,204.55,167.66
2025-04-20,207.93,203.76,168.07
2025-04-21,205.59,203.16,167.97
2025-04-22,211.39,203.35,167.68
2025-04-23,214.0,203.83,168.32
2025-04-24,209.42,203.66,167.71
2025-04-25,207.65,203.46,167.21
2025-04-26,201.37,204.14,165.86
2025-04-27,203.37,204.63,166.56
2025-04-28,210.77,203.64,166.9
2025-04-29,212.19,203.57,167.22
2025-04-30,216.41,203.6,167.4
2025-05-01,208.89,202.59,167.26
2025-05-02,203.23,202.84,167.19
2025-05-03,197.71,202.01,166.85
2025-05-04,208.65,202.95,166.56
2025-05-05,207.96,203.13,166.42
2025-05-06,214.42,203.22,167.18
2025-05-07,214.57,202.65,167.37
2025-05-08,211.66,202.54,167.2
2025-05-09,204.65,200.62,166.74
2025-05-10,205.09,199.53,166.25
2025-05-11,199.47,199.88,167.12
2025-05-12,201.53,197.84,167.34
2025-05-13,208.14,198.65,167.31
2025-05-14,207.21,196.97,167.05
2025-05-15,209.4,197.7,166.34
2025-05-16,203.78,196.89,166.27
2025-05-17,196.8,197.64,166.77
2025-05-18,196.88,197.76,166.53
2025-05-19,203.07,196.29,166.4
2025-05-20,212.92,197.49,166.29
2025-05-21,204.56,198.87,166.39
2025-05-22,209.28,198.81,165.48
2025-05-23,199.85,198.54,165.39
2025-05-24,201.6,198.39,164.95
2025-05-25,197.06,197.45,165.56
2025-05-26,220.67,198.51,165.2
2025-05-27,222.24,197.99,165.65
2025-05-28,225.33,197.94,166.69
2025-05-29,227.6,197.18,166.63
2025-05-30,219.9,196.58,166.41
2025-05-31,212.29,195.35,166.68
2025-06-01,213.26,196.56,166.85
2025-06-02,215.27,196.41,166.43
2025-06-03,225.29,197.34,166.89
2025-06-04,228.13,197.35,168.3
2025-06-05,224.0,196.68,168.35
2025-06-06,218.16,196.37,168.45
2025-06-07,211.3,195.83,168.05
2025-06-08,215.59,195.84,168.49
2025-06-09,220.25,195.48,167.99
2025-06-10,228.51,195.19,167.58
2025-06-11,230.76,193.87,168.61
2025-06-12,221.14,193.09,168.34
2025-06-13,215.42,194.68,169.28
2025-06-14,213.85,194.03,170.48
2025-06-15,213.06,193.02,170.93
2025-06-16,218.28,193.35,171.57
2025-06-17,226.86,194.7,173.05
2025-06-18,224.48,193.3,173.25
2025-06-19,225.26,193.1,173.22
2025-06-20,217.05,192.5,172.73
2025-06-21,213.38,190.8,173.09
2025-06-22,214.53,191.51,174.32
2025-06-23,218.5,191.49,175.23
2025-06-24,222.93,191.56,175.01
2025-06-25,225.48,190.83,174.85
2025-06-26,221.48,191.27,174.89
2025-06-27,217.81,190.75,175.42
2025-06-28,213.66,190.62,175.65
2025-06-29,210.65,189.55,176.14
2025-06-30,218.92,188.38,176.67
2025-07-01,221.23,189.67,176.85
2025-07-02,224.22,189.18,177.18
2025-07-03,222.0,189.46,177.66
2025-07-04,211.67,189.43,177.97
